"82.118.226.1","Thu Dec 03 2020 11:41:39 GMT+0330 (Iran Standard Time)",232
"82.118.226.1","Thu Dec 03 2020 11:41:40 GMT+0330 (Iran Standard Time)",261
"82.118.226.1","Thu Dec 03 2020 11:41:41 GMT+0330 (Iran Standard Time)",286
"82.118.226.1","Thu Dec 03 2020 11:41:42 GMT+0330 (Iran Standard Time)",307
"82.118.226.1","Thu Dec 03 2020 11:41:43 GMT+0330 (Iran Standard Time)",305
"82.118.226.1","Thu Dec 03 2020 11:41:44 GMT+0330 (Iran Standard Time)",157
"82.118.226.1","Thu Dec 03 2020 11:41:45 GMT+0330 (Iran Standard Time)",143
"82.118.226.1","Thu Dec 03 2020 11:41:46 GMT+0330 (Iran Standard Time)",202
"82.118.226.1","Thu Dec 03 2020 11:41:47 GMT+0330 (Iran Standard Time)",139
"82.118.226.1","Thu Dec 03 2020 11:41:49 GMT+0330 (Iran Standard Time)",136
"82.118.226.1","Thu Dec 03 2020 11:41:50 GMT+0330 (Iran Standard Time)",236
"82.118.226.1","Thu Dec 03 2020 11:41:51 GMT+0330 (Iran Standard Time)",260
"82.118.226.1","Thu Dec 03 2020 11:41:52 GMT+0330 (Iran Standard Time)",285
"82.118.226.1","Thu Dec 03 2020 11:41:53 GMT+0330 (Iran Standard Time)",197
"82.118.226.1","Thu Dec 03 2020 11:41:55 GMT+0330 (Iran Standard Time)",332
"82.118.226.1","Thu Dec 03 2020 11:41:56 GMT+0330 (Iran Standard Time)",355
"82.118.226.1","Thu Dec 03 2020 11:41:56 GMT+0330 (Iran Standard Time)",174
"82.118.226.1","Thu Dec 03 2020 11:41:57 GMT+0330 (Iran Standard Time)",143
"82.118.226.1","Thu Dec 03 2020 11:41:58 GMT+0330 (Iran Standard Time)",219
"82.118.226.1","Thu Dec 03 2020 11:41:59 GMT+0330 (Iran Standard Time)",240
"82.118.226.1","Thu Dec 03 2020 11:42:02 GMT+0330 (Iran Standard Time)",168
"82.118.226.1","Thu Dec 03 2020 11:42:02 GMT+0330 (Iran Standard Time)",168
