"dest","date","rtt"
"178.132.84.1","Thu Dec 03 2020 11:32:32 GMT+0330 (Iran Standard Time)",200
"178.132.84.1","Thu Dec 03 2020 11:32:33 GMT+0330 (Iran Standard Time)",136
"178.132.84.1","Thu Dec 03 2020 11:32:34 GMT+0330 (Iran Standard Time)",138
"178.132.84.1","Thu Dec 03 2020 11:34:35 GMT+0330 (Iran Standard Time)",305
"178.132.84.1","Thu Dec 03 2020 11:34:36 GMT+0330 (Iran Standard Time)",338
"178.132.84.1","Thu Dec 03 2020 11:34:37 GMT+0330 (Iran Standard Time)",157
"178.132.84.1","Thu Dec 03 2020 11:34:38 GMT+0330 (Iran Standard Time)",193
"178.132.84.1","Thu Dec 03 2020 11:34:39 GMT+0330 (Iran Standard Time)",137
"178.132.84.1","Thu Dec 03 2020 11:34:39 GMT+0330 (Iran Standard Time)",137
"178.132.84.1","Thu Dec 03 2020 11:34:40 GMT+0330 (Iran Standard Time)",240
"178.132.84.1","Thu Dec 03 2020 11:34:41 GMT+0330 (Iran Standard Time)",136
"178.132.84.1","Thu Dec 03 2020 11:34:42 GMT+0330 (Iran Standard Time)",283
"178.132.84.1","Thu Dec 03 2020 11:34:43 GMT+0330 (Iran Standard Time)",297
"178.132.84.1","Thu Dec 03 2020 11:34:44 GMT+0330 (Iran Standard Time)",145
"178.132.84.1","Thu Dec 03 2020 11:34:45 GMT+0330 (Iran Standard Time)",136
"178.132.84.1","Thu Dec 03 2020 11:34:46 GMT+0330 (Iran Standard Time)",161
"178.132.84.1","Thu Dec 03 2020 11:34:47 GMT+0330 (Iran Standard Time)",143
"178.132.84.1","Thu Dec 03 2020 11:34:48 GMT+0330 (Iran Standard Time)",137
"178.132.84.1","Thu Dec 03 2020 11:34:49 GMT+0330 (Iran Standard Time)",230
"178.132.84.1","Thu Dec 03 2020 11:34:49 GMT+0330 (Iran Standard Time)",230
"178.132.84.1","Thu Dec 03 2020 11:34:50 GMT+0330 (Iran Standard Time)",136
"178.132.84.1","Thu Dec 03 2020 11:34:51 GMT+0330 (Iran Standard Time)",277
"178.132.84.1","Thu Dec 03 2020 11:34:52 GMT+0330 (Iran Standard Time)",148
"178.132.84.1","Thu Dec 03 2020 11:34:53 GMT+0330 (Iran Standard Time)",325
"178.132.84.1","Thu Dec 03 2020 11:34:54 GMT+0330 (Iran Standard Time)",155
"178.132.84.1","Thu Dec 03 2020 11:34:55 GMT+0330 (Iran Standard Time)",169
"178.132.84.1","Thu Dec 03 2020 11:34:56 GMT+0330 (Iran Standard Time)",183
"178.132.84.1","Thu Dec 03 2020 11:34:57 GMT+0330 (Iran Standard Time)",208
"178.132.84.1","Thu Dec 03 2020 11:34:58 GMT+0330 (Iran Standard Time)",239
"178.132.84.1","Thu Dec 03 2020 11:34:58 GMT+0330 (Iran Standard Time)",239
"178.132.84.1","Thu Dec 03 2020 11:34:59 GMT+0330 (Iran Standard Time)",252
"178.132.84.1","Thu Dec 03 2020 11:34:59 GMT+0330 (Iran Standard Time)",252
"178.132.84.1","Thu Dec 03 2020 11:35:00 GMT+0330 (Iran Standard Time)",272
"178.132.84.1","Thu Dec 03 2020 11:35:01 GMT+0330 (Iran Standard Time)",135
"178.132.84.1","Thu Dec 03 2020 11:35:02 GMT+0330 (Iran Standard Time)",324
