"dest","date","rtt"
"72.14.220.86","Thu Dec 03 2020 11:30:40 GMT+0330 (Iran Standard Time)",136
"72.14.220.86","Thu Dec 03 2020 11:30:41 GMT+0330 (Iran Standard Time)",138
"72.14.220.86","Thu Dec 03 2020 11:30:43 GMT+0330 (Iran Standard Time)",266
"72.14.220.86","Thu Dec 03 2020 11:30:44 GMT+0330 (Iran Standard Time)",174
"72.14.220.86","Thu Dec 03 2020 11:30:46 GMT+0330 (Iran Standard Time)",336
"72.14.220.86","Thu Dec 03 2020 11:30:46 GMT+0330 (Iran Standard Time)",153
"72.14.220.86","Thu Dec 03 2020 11:30:47 GMT+0330 (Iran Standard Time)",136
"72.14.220.86","Thu Dec 03 2020 11:30:49 GMT+0330 (Iran Standard Time)",208
"72.14.220.86","Thu Dec 03 2020 11:30:50 GMT+0330 (Iran Standard Time)",151
"72.14.220.86","Thu Dec 03 2020 11:30:50 GMT+0330 (Iran Standard Time)",136
"72.14.220.86","Thu Dec 03 2020 11:30:52 GMT+0330 (Iran Standard Time)",268
"72.14.220.86","Thu Dec 03 2020 11:30:53 GMT+0330 (Iran Standard Time)",287
"72.14.220.86","Thu Dec 03 2020 11:30:54 GMT+0330 (Iran Standard Time)",155
"72.14.220.86","Thu Dec 03 2020 11:30:55 GMT+0330 (Iran Standard Time)",343
"72.14.220.86","Thu Dec 03 2020 11:30:56 GMT+0330 (Iran Standard Time)",171
"72.14.220.86","Thu Dec 03 2020 11:30:57 GMT+0330 (Iran Standard Time)",177
"72.14.220.86","Thu Dec 03 2020 11:30:58 GMT+0330 (Iran Standard Time)",198
"72.14.220.86","Thu Dec 03 2020 11:30:59 GMT+0330 (Iran Standard Time)",227
"72.14.220.86","Thu Dec 03 2020 11:31:00 GMT+0330 (Iran Standard Time)",247
"72.14.220.86","Thu Dec 03 2020 11:31:00 GMT+0330 (Iran Standard Time)",247
"72.14.220.86","Thu Dec 03 2020 11:31:01 GMT+0330 (Iran Standard Time)",269
"72.14.220.86","Thu Dec 03 2020 11:31:01 GMT+0330 (Iran Standard Time)",137
"72.14.220.86","Thu Dec 03 2020 11:31:03 GMT+0330 (Iran Standard Time)",313
"72.14.220.86","Thu Dec 03 2020 11:31:03 GMT+0330 (Iran Standard Time)",313
"72.14.220.86","Thu Dec 03 2020 11:31:05 GMT+0330 (Iran Standard Time)",152
"72.14.220.86","Thu Dec 03 2020 11:31:05 GMT+0330 (Iran Standard Time)","unknown"
"72.14.220.86","Thu Dec 03 2020 11:31:06 GMT+0330 (Iran Standard Time)",136
"72.14.220.86","Thu Dec 03 2020 11:31:07 GMT+0330 (Iran Standard Time)",190
"72.14.220.86","Thu Dec 03 2020 11:31:11 GMT+0330 (Iran Standard Time)",287
"72.14.220.86","Thu Dec 03 2020 11:31:11 GMT+0330 (Iran Standard Time)",287
