"dest","date","rtt"
"92.247.143.226","Thu Dec 03 2020 11:31:49 GMT+0330 (Iran Standard Time)",136
"92.247.143.226","Thu Dec 03 2020 11:34:35 GMT+0330 (Iran Standard Time)",301
"92.247.143.226","Thu Dec 03 2020 11:34:36 GMT+0330 (Iran Standard Time)",332
"92.247.143.226","Thu Dec 03 2020 11:34:37 GMT+0330 (Iran Standard Time)",151
"92.247.143.226","Thu Dec 03 2020 11:34:38 GMT+0330 (Iran Standard Time)",191
"92.247.143.226","Thu Dec 03 2020 11:34:39 GMT+0330 (Iran Standard Time)",138
"92.247.143.226","Thu Dec 03 2020 11:34:40 GMT+0330 (Iran Standard Time)",236
"92.247.143.226","Thu Dec 03 2020 11:34:41 GMT+0330 (Iran Standard Time)",137
"92.247.143.226","Thu Dec 03 2020 11:34:42 GMT+0330 (Iran Standard Time)",279
"92.247.143.226","Thu Dec 03 2020 11:34:43 GMT+0330 (Iran Standard Time)",280
"92.247.143.226","Thu Dec 03 2020 11:34:44 GMT+0330 (Iran Standard Time)",146
"92.247.143.226","Thu Dec 03 2020 11:34:45 GMT+0330 (Iran Standard Time)",137
"92.247.143.226","Thu Dec 03 2020 11:34:46 GMT+0330 (Iran Standard Time)",152
"92.247.143.226","Thu Dec 03 2020 11:34:47 GMT+0330 (Iran Standard Time)",136
"92.247.143.226","Thu Dec 03 2020 11:34:48 GMT+0330 (Iran Standard Time)",139
"92.247.143.226","Thu Dec 03 2020 11:34:50 GMT+0330 (Iran Standard Time)",136
"92.247.143.226","Thu Dec 03 2020 11:34:51 GMT+0330 (Iran Standard Time)",271
"92.247.143.226","Thu Dec 03 2020 11:34:52 GMT+0330 (Iran Standard Time)",141
"92.247.143.226","Thu Dec 03 2020 11:34:53 GMT+0330 (Iran Standard Time)",319
"92.247.143.226","Thu Dec 03 2020 11:34:53 GMT+0330 (Iran Standard Time)",319
"92.247.143.226","Thu Dec 03 2020 11:34:54 GMT+0330 (Iran Standard Time)",152
"92.247.143.226","Thu Dec 03 2020 11:34:55 GMT+0330 (Iran Standard Time)",165
"92.247.143.226","Thu Dec 03 2020 11:34:56 GMT+0330 (Iran Standard Time)",176
"92.247.143.226","Thu Dec 03 2020 11:34:57 GMT+0330 (Iran Standard Time)",200
"92.247.143.226","Thu Dec 03 2020 11:34:58 GMT+0330 (Iran Standard Time)",235
