"dest","date","rtt"
"192.168.1.1","Tue Nov 24 2020 23:53:03 GMT+0330 (Iran Standard Time)",4.8
"192.168.1.1","Tue Nov 24 2020 23:53:04 GMT+0330 (Iran Standard Time)",0.681
"192.168.1.1","Tue Nov 24 2020 23:53:06 GMT+0330 (Iran Standard Time)",5.44
"192.168.1.1","Tue Nov 24 2020 23:53:07 GMT+0330 (Iran Standard Time)",8.51
"192.168.1.1","Tue Nov 24 2020 23:53:08 GMT+0330 (Iran Standard Time)",5.82
"192.168.1.1","Tue Nov 24 2020 23:53:09 GMT+0330 (Iran Standard Time)",5.24
"192.168.1.1","Tue Nov 24 2020 23:53:10 GMT+0330 (Iran Standard Time)",0.779
