"dest","date","rtt"
"89.165.3.217","Tue Nov 24 2020 23:53:02 GMT+0330 (Iran Standard Time)",8.48
"89.165.3.217","Tue Nov 24 2020 23:53:04 GMT+0330 (Iran Standard Time)",8.23
"89.165.3.217","Tue Nov 24 2020 23:53:05 GMT+0330 (Iran Standard Time)","unknown"
"89.165.3.217","Tue Nov 24 2020 23:53:05 GMT+0330 (Iran Standard Time)","unknown"
"89.165.3.217","Tue Nov 24 2020 23:53:05 GMT+0330 (Iran Standard Time)",36.9
"89.165.3.217","Tue Nov 24 2020 23:53:06 GMT+0330 (Iran Standard Time)",8.59
"89.165.3.217","Tue Nov 24 2020 23:53:07 GMT+0330 (Iran Standard Time)",13.1
"89.165.3.217","Tue Nov 24 2020 23:53:08 GMT+0330 (Iran Standard Time)",10.4
"89.165.3.217","Tue Nov 24 2020 23:53:09 GMT+0330 (Iran Standard Time)",8.76
"89.165.3.217","Tue Nov 24 2020 23:53:10 GMT+0330 (Iran Standard Time)",166
"89.165.3.217","Tue Nov 24 2020 23:53:10 GMT+0330 (Iran Standard Time)",166
