"178.132.84.1","Wed Nov 25 2020 23:03:38 GMT+0330 (Iran Standard Time)",271
"178.132.84.1","Wed Nov 25 2020 23:03:39 GMT+0330 (Iran Standard Time)",166
"178.132.84.1","Wed Nov 25 2020 23:03:40 GMT+0330 (Iran Standard Time)",194
"178.132.84.1","Wed Nov 25 2020 23:03:40 GMT+0330 (Iran Standard Time)",194
"178.132.84.1","Wed Nov 25 2020 23:03:41 GMT+0330 (Iran Standard Time)",224
"178.132.84.1","Wed Nov 25 2020 23:03:42 GMT+0330 (Iran Standard Time)",251
"178.132.84.1","Wed Nov 25 2020 23:03:43 GMT+0330 (Iran Standard Time)",169
"178.132.84.1","Wed Nov 25 2020 23:03:44 GMT+0330 (Iran Standard Time)",193
"178.132.84.1","Wed Nov 25 2020 23:03:44 GMT+0330 (Iran Standard Time)",193
"178.132.84.1","Wed Nov 25 2020 23:03:45 GMT+0330 (Iran Standard Time)",161
"178.132.84.1","Wed Nov 25 2020 23:03:46 GMT+0330 (Iran Standard Time)",239
"178.132.84.1","Wed Nov 25 2020 23:03:47 GMT+0330 (Iran Standard Time)",167
"178.132.84.1","Wed Nov 25 2020 23:03:48 GMT+0330 (Iran Standard Time)",179
"178.132.84.1","Wed Nov 25 2020 23:03:48 GMT+0330 (Iran Standard Time)",179
"178.132.84.1","Wed Nov 25 2020 23:03:49 GMT+0330 (Iran Standard Time)",210
"178.132.84.1","Wed Nov 25 2020 23:03:49 GMT+0330 (Iran Standard Time)",210
"178.132.84.1","Wed Nov 25 2020 23:03:50 GMT+0330 (Iran Standard Time)",229
"178.132.84.1","Wed Nov 25 2020 23:03:51 GMT+0330 (Iran Standard Time)",258
"178.132.84.1","Wed Nov 25 2020 23:03:52 GMT+0330 (Iran Standard Time)",222
"178.132.84.1","Wed Nov 25 2020 23:03:53 GMT+0330 (Iran Standard Time)",198
"178.132.84.1","Wed Nov 25 2020 23:03:54 GMT+0330 (Iran Standard Time)",218
"178.132.84.1","Wed Nov 25 2020 23:03:55 GMT+0330 (Iran Standard Time)",206
"178.132.84.1","Wed Nov 25 2020 23:03:56 GMT+0330 (Iran Standard Time)",271
"178.132.84.1","Wed Nov 25 2020 23:03:57 GMT+0330 (Iran Standard Time)",191
"178.132.84.1","Wed Nov 25 2020 23:03:58 GMT+0330 (Iran Standard Time)",215
"178.132.84.1","Wed Nov 25 2020 23:03:59 GMT+0330 (Iran Standard Time)",234
"178.132.84.1","Wed Nov 25 2020 23:04:00 GMT+0330 (Iran Standard Time)",159
"178.132.84.1","Wed Nov 25 2020 23:04:01 GMT+0330 (Iran Standard Time)",192
"178.132.84.1","Wed Nov 25 2020 23:04:02 GMT+0330 (Iran Standard Time)",150
"178.132.84.1","Wed Nov 25 2020 23:04:02 GMT+0330 (Iran Standard Time)",150
"178.132.84.1","Wed Nov 25 2020 23:04:03 GMT+0330 (Iran Standard Time)",226
"178.132.84.1","Wed Nov 25 2020 23:04:03 GMT+0330 (Iran Standard Time)",226
"178.132.84.1","Wed Nov 25 2020 23:04:04 GMT+0330 (Iran Standard Time)",258
"178.132.84.1","Wed Nov 25 2020 23:04:05 GMT+0330 (Iran Standard Time)",169
"178.132.84.1","Wed Nov 25 2020 23:04:06 GMT+0330 (Iran Standard Time)",160
"178.132.84.1","Wed Nov 25 2020 23:04:07 GMT+0330 (Iran Standard Time)",216
"178.132.84.1","Wed Nov 25 2020 23:04:07 GMT+0330 (Iran Standard Time)",216
"178.132.84.1","Wed Nov 25 2020 23:04:07 GMT+0330 (Iran Standard Time)",216
"178.132.84.1","Wed Nov 25 2020 23:04:07 GMT+0330 (Iran Standard Time)",216
"178.132.84.1","Wed Nov 25 2020 23:04:08 GMT+0330 (Iran Standard Time)",239
"178.132.84.1","Wed Nov 25 2020 23:04:10 GMT+0330 (Iran Standard Time)",181
"178.132.84.1","Wed Nov 25 2020 23:04:11 GMT+0330 (Iran Standard Time)",206
"178.132.84.1","Wed Nov 25 2020 23:04:12 GMT+0330 (Iran Standard Time)",229
"178.132.84.1","Wed Nov 25 2020 23:04:13 GMT+0330 (Iran Standard Time)",257
"178.132.84.1","Wed Nov 25 2020 23:04:14 GMT+0330 (Iran Standard Time)",173
"178.132.84.1","Wed Nov 25 2020 23:04:15 GMT+0330 (Iran Standard Time)",198
"178.132.84.1","Wed Nov 25 2020 23:04:16 GMT+0330 (Iran Standard Time)",211
"178.132.84.1","Wed Nov 25 2020 23:04:17 GMT+0330 (Iran Standard Time)",243
"178.132.84.1","Wed Nov 25 2020 23:04:18 GMT+0330 (Iran Standard Time)",162
"178.132.84.1","Wed Nov 25 2020 23:04:19 GMT+0330 (Iran Standard Time)",189
"178.132.84.1","Wed Nov 25 2020 23:04:20 GMT+0330 (Iran Standard Time)",212
"178.132.84.1","Wed Nov 25 2020 23:04:21 GMT+0330 (Iran Standard Time)",233
"178.132.84.1","Wed Nov 25 2020 23:04:22 GMT+0330 (Iran Standard Time)",254
"178.132.84.1","Wed Nov 25 2020 23:04:23 GMT+0330 (Iran Standard Time)",178
"178.132.84.1","Wed Nov 25 2020 23:04:24 GMT+0330 (Iran Standard Time)",203
"178.132.84.1","Wed Nov 25 2020 23:04:24 GMT+0330 (Iran Standard Time)",203
"178.132.84.1","Wed Nov 25 2020 23:04:25 GMT+0330 (Iran Standard Time)",150
