"dest","date","rtt"
"92.247.143.226","Wed Nov 25 2020 23:30:22 GMT+0330 (Iran Standard Time)",251
"92.247.143.226","Wed Nov 25 2020 23:30:23 GMT+0330 (Iran Standard Time)",257
"92.247.143.226","Wed Nov 25 2020 23:30:24 GMT+0330 (Iran Standard Time)",200
"92.247.143.226","Wed Nov 25 2020 23:30:25 GMT+0330 (Iran Standard Time)",228
"92.247.143.226","Wed Nov 25 2020 23:30:26 GMT+0330 (Iran Standard Time)",240
"92.247.143.226","Wed Nov 25 2020 23:30:28 GMT+0330 (Iran Standard Time)",231
"92.247.143.226","Wed Nov 25 2020 23:30:29 GMT+0330 (Iran Standard Time)","unknown"
"92.247.143.226","Wed Nov 25 2020 23:30:29 GMT+0330 (Iran Standard Time)",417
"92.247.143.226","Wed Nov 25 2020 23:30:30 GMT+0330 (Iran Standard Time)",302
"92.247.143.226","Wed Nov 25 2020 23:30:31 GMT+0330 (Iran Standard Time)",427
"92.247.143.226","Wed Nov 25 2020 23:30:32 GMT+0330 (Iran Standard Time)",271
"92.247.143.226","Wed Nov 25 2020 23:30:33 GMT+0330 (Iran Standard Time)",178
"92.247.143.226","Wed Nov 25 2020 23:30:34 GMT+0330 (Iran Standard Time)",221
"92.247.143.226","Wed Nov 25 2020 23:30:35 GMT+0330 (Iran Standard Time)",237
"92.247.143.226","Wed Nov 25 2020 23:30:36 GMT+0330 (Iran Standard Time)",267
"92.247.143.226","Wed Nov 25 2020 23:30:37 GMT+0330 (Iran Standard Time)",223
"92.247.143.226","Wed Nov 25 2020 23:30:38 GMT+0330 (Iran Standard Time)",170
"92.247.143.226","Wed Nov 25 2020 23:30:39 GMT+0330 (Iran Standard Time)",238
"92.247.143.226","Wed Nov 25 2020 23:30:40 GMT+0330 (Iran Standard Time)",213
"92.247.143.226","Wed Nov 25 2020 23:30:41 GMT+0330 (Iran Standard Time)",279
"92.247.143.226","Wed Nov 25 2020 23:30:42 GMT+0330 (Iran Standard Time)",199
"92.247.143.226","Wed Nov 25 2020 23:30:43 GMT+0330 (Iran Standard Time)",225
"92.247.143.226","Wed Nov 25 2020 23:30:44 GMT+0330 (Iran Standard Time)",352
"92.247.143.226","Wed Nov 25 2020 23:30:45 GMT+0330 (Iran Standard Time)",436
"92.247.143.226","Wed Nov 25 2020 23:30:46 GMT+0330 (Iran Standard Time)",547
"92.247.143.226","Wed Nov 25 2020 23:30:48 GMT+0330 (Iran Standard Time)",739
"92.247.143.226","Wed Nov 25 2020 23:30:49 GMT+0330 (Iran Standard Time)","unknown"
"92.247.143.226","Wed Nov 25 2020 23:30:49 GMT+0330 (Iran Standard Time)",302
"92.247.143.226","Wed Nov 25 2020 23:30:51 GMT+0330 (Iran Standard Time)",585
"92.247.143.226","Wed Nov 25 2020 23:30:52 GMT+0330 (Iran Standard Time)","unknown"
"92.247.143.226","Wed Nov 25 2020 23:30:52 GMT+0330 (Iran Standard Time)",321
"92.247.143.226","Wed Nov 25 2020 23:30:53 GMT+0330 (Iran Standard Time)",225
"92.247.143.226","Wed Nov 25 2020 23:30:54 GMT+0330 (Iran Standard Time)",476
"92.247.143.226","Wed Nov 25 2020 23:30:55 GMT+0330 (Iran Standard Time)",311
"92.247.143.226","Wed Nov 25 2020 23:30:56 GMT+0330 (Iran Standard Time)",629
"92.247.143.226","Wed Nov 25 2020 23:30:58 GMT+0330 (Iran Standard Time)",744
"92.247.143.226","Wed Nov 25 2020 23:30:59 GMT+0330 (Iran Standard Time)","unknown"
"92.247.143.226","Wed Nov 25 2020 23:31:00 GMT+0330 (Iran Standard Time)",421
"92.247.143.226","Wed Nov 25 2020 23:31:01 GMT+0330 (Iran Standard Time)","unknown"
"92.247.143.226","Wed Nov 25 2020 23:31:01 GMT+0330 (Iran Standard Time)",280
"92.247.143.226","Wed Nov 25 2020 23:31:02 GMT+0330 (Iran Standard Time)",586
"92.247.143.226","Wed Nov 25 2020 23:31:03 GMT+0330 (Iran Standard Time)",288
