"dest","date","rtt"
"178.132.84.2","Wed Nov 25 2020 23:32:21 GMT+0330 (Iran Standard Time)",288
"178.132.84.2","Wed Nov 25 2020 23:32:22 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:32:22 GMT+0330 (Iran Standard Time)",310
"178.132.84.2","Wed Nov 25 2020 23:32:23 GMT+0330 (Iran Standard Time)",284
"178.132.84.2","Wed Nov 25 2020 23:32:24 GMT+0330 (Iran Standard Time)",358
"178.132.84.2","Wed Nov 25 2020 23:32:25 GMT+0330 (Iran Standard Time)",178
"178.132.84.2","Wed Nov 25 2020 23:32:26 GMT+0330 (Iran Standard Time)",204
"178.132.84.2","Wed Nov 25 2020 23:32:27 GMT+0330 (Iran Standard Time)",225
"178.132.84.2","Wed Nov 25 2020 23:32:28 GMT+0330 (Iran Standard Time)",250
"178.132.84.2","Wed Nov 25 2020 23:32:29 GMT+0330 (Iran Standard Time)",273
"178.132.84.2","Wed Nov 25 2020 23:32:30 GMT+0330 (Iran Standard Time)",196
"178.132.84.2","Wed Nov 25 2020 23:32:31 GMT+0330 (Iran Standard Time)",219
"178.132.84.2","Wed Nov 25 2020 23:32:32 GMT+0330 (Iran Standard Time)",239
"178.132.84.2","Wed Nov 25 2020 23:32:33 GMT+0330 (Iran Standard Time)",181
"178.132.84.2","Wed Nov 25 2020 23:32:34 GMT+0330 (Iran Standard Time)",206
"178.132.84.2","Wed Nov 25 2020 23:32:37 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:32:38 GMT+0330 (Iran Standard Time)",775
"178.132.84.2","Wed Nov 25 2020 23:32:38 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:32:38 GMT+0330 (Iran Standard Time)",181
"178.132.84.2","Wed Nov 25 2020 23:32:40 GMT+0330 (Iran Standard Time)",773
"178.132.84.2","Wed Nov 25 2020 23:32:41 GMT+0330 (Iran Standard Time)",171
"178.132.84.2","Wed Nov 25 2020 23:32:42 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:32:42 GMT+0330 (Iran Standard Time)",376
"178.132.84.2","Wed Nov 25 2020 23:32:43 GMT+0330 (Iran Standard Time)",187
"178.132.84.2","Wed Nov 25 2020 23:32:44 GMT+0330 (Iran Standard Time)",223
"178.132.84.2","Wed Nov 25 2020 23:32:45 GMT+0330 (Iran Standard Time)",237
"178.132.84.2","Wed Nov 25 2020 23:32:46 GMT+0330 (Iran Standard Time)",257
"178.132.84.2","Wed Nov 25 2020 23:32:47 GMT+0330 (Iran Standard Time)",382
"178.132.84.2","Wed Nov 25 2020 23:32:48 GMT+0330 (Iran Standard Time)",305
"178.132.84.2","Wed Nov 25 2020 23:32:49 GMT+0330 (Iran Standard Time)",524
"178.132.84.2","Wed Nov 25 2020 23:32:50 GMT+0330 (Iran Standard Time)",257
"178.132.84.2","Wed Nov 25 2020 23:32:51 GMT+0330 (Iran Standard Time)",272
"178.132.84.2","Wed Nov 25 2020 23:32:52 GMT+0330 (Iran Standard Time)",298
"178.132.84.2","Wed Nov 25 2020 23:32:53 GMT+0330 (Iran Standard Time)",325
"178.132.84.2","Wed Nov 25 2020 23:32:54 GMT+0330 (Iran Standard Time)",355
"178.132.84.2","Wed Nov 25 2020 23:32:55 GMT+0330 (Iran Standard Time)",303
"178.132.84.2","Wed Nov 25 2020 23:32:56 GMT+0330 (Iran Standard Time)",289
"178.132.84.2","Wed Nov 25 2020 23:32:57 GMT+0330 (Iran Standard Time)",289
"178.132.84.2","Wed Nov 25 2020 23:34:17 GMT+0330 (Iran Standard Time)",245
"178.132.84.2","Wed Nov 25 2020 23:34:18 GMT+0330 (Iran Standard Time)",260
"178.132.84.2","Wed Nov 25 2020 23:34:19 GMT+0330 (Iran Standard Time)",278
"178.132.84.2","Wed Nov 25 2020 23:34:21 GMT+0330 (Iran Standard Time)",426
"178.132.84.2","Wed Nov 25 2020 23:34:22 GMT+0330 (Iran Standard Time)",245
"178.132.84.2","Wed Nov 25 2020 23:34:23 GMT+0330 (Iran Standard Time)",178
"178.132.84.2","Wed Nov 25 2020 23:34:24 GMT+0330 (Iran Standard Time)",208
"178.132.84.2","Wed Nov 25 2020 23:34:25 GMT+0330 (Iran Standard Time)",229
"178.132.84.2","Wed Nov 25 2020 23:36:35 GMT+0330 (Iran Standard Time)",213
"178.132.84.2","Wed Nov 25 2020 23:36:38 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:36:38 GMT+0330 (Iran Standard Time)",258
"178.132.84.2","Wed Nov 25 2020 23:36:39 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:36:40 GMT+0330 (Iran Standard Time)",578
"178.132.84.2","Wed Nov 25 2020 23:36:41 GMT+0330 (Iran Standard Time)",1334
"178.132.84.2","Wed Nov 25 2020 23:36:43 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:36:44 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:36:44 GMT+0330 (Iran Standard Time)",322
"178.132.84.2","Wed Nov 25 2020 23:36:45 GMT+0330 (Iran Standard Time)","unknown"
"178.132.84.2","Wed Nov 25 2020 23:36:45 GMT+0330 (Iran Standard Time)",338
"178.132.84.2","Wed Nov 25 2020 23:36:46 GMT+0330 (Iran Standard Time)",255
"178.132.84.2","Wed Nov 25 2020 23:36:48 GMT+0330 (Iran Standard Time)",390
"178.132.84.2","Wed Nov 25 2020 23:36:48 GMT+0330 (Iran Standard Time)",312
"178.132.84.2","Wed Nov 25 2020 23:36:49 GMT+0330 (Iran Standard Time)",331
"178.132.84.2","Wed Nov 25 2020 23:36:50 GMT+0330 (Iran Standard Time)",245
"178.132.84.2","Wed Nov 25 2020 23:36:52 GMT+0330 (Iran Standard Time)",191
"178.132.84.2","Wed Nov 25 2020 23:36:53 GMT+0330 (Iran Standard Time)",317
"178.132.84.2","Wed Nov 25 2020 23:36:54 GMT+0330 (Iran Standard Time)",237
"178.132.84.2","Wed Nov 25 2020 23:36:55 GMT+0330 (Iran Standard Time)",259
"178.132.84.2","Wed Nov 25 2020 23:38:37 GMT+0330 (Iran Standard Time)",479
"178.132.84.2","Wed Nov 25 2020 23:38:38 GMT+0330 (Iran Standard Time)",450
"178.132.84.2","Wed Nov 25 2020 23:38:39 GMT+0330 (Iran Standard Time)",577
"178.132.84.2","Wed Nov 25 2020 23:38:40 GMT+0330 (Iran Standard Time)",407
"178.132.84.2","Wed Nov 25 2020 23:38:41 GMT+0330 (Iran Standard Time)",315
"178.132.84.2","Wed Nov 25 2020 23:38:41 GMT+0330 (Iran Standard Time)",238
"178.132.84.2","Wed Nov 25 2020 23:38:43 GMT+0330 (Iran Standard Time)",273
