"dest","date","rtt"
"82.118.226.1","Wed Nov 25 2020 23:02:39 GMT+0330 (Iran Standard Time)",222
"82.118.226.1","Wed Nov 25 2020 23:02:39 GMT+0330 (Iran Standard Time)",152
"82.118.226.1","Wed Nov 25 2020 23:02:41 GMT+0330 (Iran Standard Time)",164
"82.118.226.1","Wed Nov 25 2020 23:02:42 GMT+0330 (Iran Standard Time)",187
"82.118.226.1","Wed Nov 25 2020 23:02:43 GMT+0330 (Iran Standard Time)",210
"82.118.226.1","Wed Nov 25 2020 23:02:44 GMT+0330 (Iran Standard Time)",234
"82.118.226.1","Wed Nov 25 2020 23:02:45 GMT+0330 (Iran Standard Time)",150
"82.118.226.1","Wed Nov 25 2020 23:02:46 GMT+0330 (Iran Standard Time)",155
"82.118.226.1","Wed Nov 25 2020 23:02:47 GMT+0330 (Iran Standard Time)",310
"82.118.226.1","Wed Nov 25 2020 23:02:48 GMT+0330 (Iran Standard Time)",222
"82.118.226.1","Wed Nov 25 2020 23:02:49 GMT+0330 (Iran Standard Time)",239
"82.118.226.1","Wed Nov 25 2020 23:02:50 GMT+0330 (Iran Standard Time)",165
"82.118.226.1","Wed Nov 25 2020 23:02:51 GMT+0330 (Iran Standard Time)",219
"82.118.226.1","Wed Nov 25 2020 23:02:52 GMT+0330 (Iran Standard Time)",415
"82.118.226.1","Wed Nov 25 2020 23:02:53 GMT+0330 (Iran Standard Time)",236
"82.118.226.1","Wed Nov 25 2020 23:02:54 GMT+0330 (Iran Standard Time)",171
"82.118.226.1","Wed Nov 25 2020 23:02:56 GMT+0330 (Iran Standard Time)",204
"82.118.226.1","Wed Nov 25 2020 23:02:57 GMT+0330 (Iran Standard Time)",230
"82.118.226.1","Wed Nov 25 2020 23:02:57 GMT+0330 (Iran Standard Time)",230
"82.118.226.1","Wed Nov 25 2020 23:02:57 GMT+0330 (Iran Standard Time)",230
"82.118.226.1","Wed Nov 25 2020 23:02:59 GMT+0330 (Iran Standard Time)",171
"82.118.226.1","Wed Nov 25 2020 23:03:00 GMT+0330 (Iran Standard Time)",152
"82.118.226.1","Wed Nov 25 2020 23:03:01 GMT+0330 (Iran Standard Time)",153
"82.118.226.1","Wed Nov 25 2020 23:03:02 GMT+0330 (Iran Standard Time)",150
"82.118.226.1","Wed Nov 25 2020 23:03:03 GMT+0330 (Iran Standard Time)",165
"82.118.226.1","Wed Nov 25 2020 23:03:04 GMT+0330 (Iran Standard Time)",190
"82.118.226.1","Wed Nov 25 2020 23:03:05 GMT+0330 (Iran Standard Time)",214
"82.118.226.1","Wed Nov 25 2020 23:03:06 GMT+0330 (Iran Standard Time)",238
"82.118.226.1","Wed Nov 25 2020 23:03:07 GMT+0330 (Iran Standard Time)",159
"82.118.226.1","Wed Nov 25 2020 23:03:08 GMT+0330 (Iran Standard Time)",186
"82.118.226.1","Wed Nov 25 2020 23:03:09 GMT+0330 (Iran Standard Time)",302
"82.118.226.1","Wed Nov 25 2020 23:03:10 GMT+0330 (Iran Standard Time)",150
"82.118.226.1","Wed Nov 25 2020 23:03:11 GMT+0330 (Iran Standard Time)",162
"82.118.226.1","Wed Nov 25 2020 23:03:11 GMT+0330 (Iran Standard Time)",162
"82.118.226.1","Wed Nov 25 2020 23:03:12 GMT+0330 (Iran Standard Time)",153
"82.118.226.1","Wed Nov 25 2020 23:03:13 GMT+0330 (Iran Standard Time)",198
"82.118.226.1","Wed Nov 25 2020 23:03:14 GMT+0330 (Iran Standard Time)",151
"82.118.226.1","Wed Nov 25 2020 23:03:15 GMT+0330 (Iran Standard Time)",242
"82.118.226.1","Wed Nov 25 2020 23:03:16 GMT+0330 (Iran Standard Time)",172
"82.118.226.1","Wed Nov 25 2020 23:03:17 GMT+0330 (Iran Standard Time)",152
"82.118.226.1","Wed Nov 25 2020 23:03:18 GMT+0330 (Iran Standard Time)",168
"82.118.226.1","Wed Nov 25 2020 23:03:19 GMT+0330 (Iran Standard Time)",172
"82.118.226.1","Wed Nov 25 2020 23:03:20 GMT+0330 (Iran Standard Time)",155
"82.118.226.1","Wed Nov 25 2020 23:03:21 GMT+0330 (Iran Standard Time)",186
"82.118.226.1","Wed Nov 25 2020 23:03:22 GMT+0330 (Iran Standard Time)",161
"82.118.226.1","Wed Nov 25 2020 23:03:23 GMT+0330 (Iran Standard Time)",176
"82.118.226.1","Wed Nov 25 2020 23:03:24 GMT+0330 (Iran Standard Time)",156
"82.118.226.1","Wed Nov 25 2020 23:03:25 GMT+0330 (Iran Standard Time)",153
"82.118.226.1","Wed Nov 25 2020 23:03:26 GMT+0330 (Iran Standard Time)",152
"82.118.226.1","Wed Nov 25 2020 23:03:28 GMT+0330 (Iran Standard Time)",152
"82.118.226.1","Wed Nov 25 2020 23:03:30 GMT+0330 (Iran Standard Time)",184
"82.118.226.1","Wed Nov 25 2020 23:03:31 GMT+0330 (Iran Standard Time)",205
"82.118.226.1","Wed Nov 25 2020 23:03:32 GMT+0330 (Iran Standard Time)",230
"82.118.226.1","Wed Nov 25 2020 23:03:33 GMT+0330 (Iran Standard Time)",250
"82.118.226.1","Wed Nov 25 2020 23:03:34 GMT+0330 (Iran Standard Time)",171
