"dest","date","rtt"
"78.83.181.113","Wed Nov 25 2020 23:30:22 GMT+0330 (Iran Standard Time)",251
"78.83.181.113","Wed Nov 25 2020 23:30:23 GMT+0330 (Iran Standard Time)",265
"78.83.181.113","Wed Nov 25 2020 23:30:24 GMT+0330 (Iran Standard Time)",202
"78.83.181.113","Wed Nov 25 2020 23:30:25 GMT+0330 (Iran Standard Time)",232
"78.83.181.113","Wed Nov 25 2020 23:30:26 GMT+0330 (Iran Standard Time)",237
"78.83.181.113","Wed Nov 25 2020 23:30:27 GMT+0330 (Iran Standard Time)",283
"78.83.181.113","Wed Nov 25 2020 23:30:28 GMT+0330 (Iran Standard Time)",205
"78.83.181.113","Wed Nov 25 2020 23:30:29 GMT+0330 (Iran Standard Time)",423
"78.83.181.113","Wed Nov 25 2020 23:30:31 GMT+0330 (Iran Standard Time)",432
"78.83.181.113","Wed Nov 25 2020 23:30:32 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:30:32 GMT+0330 (Iran Standard Time)",277
"78.83.181.113","Wed Nov 25 2020 23:30:33 GMT+0330 (Iran Standard Time)",169
"78.83.181.113","Wed Nov 25 2020 23:30:34 GMT+0330 (Iran Standard Time)",226
"78.83.181.113","Wed Nov 25 2020 23:30:35 GMT+0330 (Iran Standard Time)",243
"78.83.181.113","Wed Nov 25 2020 23:30:36 GMT+0330 (Iran Standard Time)",272
"78.83.181.113","Wed Nov 25 2020 23:30:37 GMT+0330 (Iran Standard Time)",225
"78.83.181.113","Wed Nov 25 2020 23:30:38 GMT+0330 (Iran Standard Time)",171
"78.83.181.113","Wed Nov 25 2020 23:30:39 GMT+0330 (Iran Standard Time)",245
"78.83.181.113","Wed Nov 25 2020 23:30:40 GMT+0330 (Iran Standard Time)",186
"78.83.181.113","Wed Nov 25 2020 23:30:41 GMT+0330 (Iran Standard Time)",286
"78.83.181.113","Wed Nov 25 2020 23:30:42 GMT+0330 (Iran Standard Time)",206
"78.83.181.113","Wed Nov 25 2020 23:30:43 GMT+0330 (Iran Standard Time)",232
"78.83.181.113","Wed Nov 25 2020 23:30:44 GMT+0330 (Iran Standard Time)",359
"78.83.181.113","Wed Nov 25 2020 23:30:45 GMT+0330 (Iran Standard Time)",441
"78.83.181.113","Wed Nov 25 2020 23:30:46 GMT+0330 (Iran Standard Time)",541
"78.83.181.113","Wed Nov 25 2020 23:30:48 GMT+0330 (Iran Standard Time)",727
"78.83.181.113","Wed Nov 25 2020 23:30:49 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:30:51 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:30:51 GMT+0330 (Iran Standard Time)",592
"78.83.181.113","Wed Nov 25 2020 23:30:52 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:30:52 GMT+0330 (Iran Standard Time)",328
"78.83.181.113","Wed Nov 25 2020 23:30:53 GMT+0330 (Iran Standard Time)",221
"78.83.181.113","Wed Nov 25 2020 23:30:54 GMT+0330 (Iran Standard Time)",462
"78.83.181.113","Wed Nov 25 2020 23:30:55 GMT+0330 (Iran Standard Time)",314
"78.83.181.113","Wed Nov 25 2020 23:30:57 GMT+0330 (Iran Standard Time)",740
"78.83.181.113","Wed Nov 25 2020 23:30:58 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:30:58 GMT+0330 (Iran Standard Time)",748
"78.83.181.113","Wed Nov 25 2020 23:31:00 GMT+0330 (Iran Standard Time)",429
"78.83.181.113","Wed Nov 25 2020 23:31:01 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:31:01 GMT+0330 (Iran Standard Time)",289
"78.83.181.113","Wed Nov 25 2020 23:31:02 GMT+0330 (Iran Standard Time)",592
"78.83.181.113","Wed Nov 25 2020 23:31:03 GMT+0330 (Iran Standard Time)",297
"78.83.181.113","Wed Nov 25 2020 23:31:04 GMT+0330 (Iran Standard Time)",229
"78.83.181.113","Wed Nov 25 2020 23:31:06 GMT+0330 (Iran Standard Time)",342
"78.83.181.113","Wed Nov 25 2020 23:31:07 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:31:07 GMT+0330 (Iran Standard Time)",317
"78.83.181.113","Wed Nov 25 2020 23:31:08 GMT+0330 (Iran Standard Time)",340
"78.83.181.113","Wed Nov 25 2020 23:31:11 GMT+0330 (Iran Standard Time)","unknown"
"78.83.181.113","Wed Nov 25 2020 23:31:11 GMT+0330 (Iran Standard Time)",276
